Field,Value
Recipe Name,Garlic Chips
Implemented,2/20/24 0:00
Created,
Shelf Life,~5 days
Stations,prep
Prep Time,~25 mins
Dishes,
Description,
Equipment,"Double fryer, burner range, heat lamp or dehydrator"
Kitchen Tools,"Fine mesh spider, mandolin, deli containers,
sheet trays / resting racks"
Allergies,Allium
Recipe Yield Unit,QT
Recipe Yield (Batch x1),1
Recipe Yield (Batch x2),
Recipe Yield (Batch x3),
Recipe Yield (Batch x4),
=== Ingredients ===,
"Garlic, peeled whole","Unit: qt, Batch x1: 1, Batch x2: nan, Batch x3: nan, Batch x4: nan, Prep/Brand: thin sliced on mandoline"
=== Prep Steps ===,
Step 1,"Slice the garlic on a mandoline as thin as possible, about 0.5mm"
Step 2,"In a small pot, add garlic slices and cover with cold water.  Bring to a boil, then strain out water."
Step 3,Repeat process x2 times.
Step 4,"After third blanch, spread garlic slices on sports towel lined sheet tray to dry"
Step 5,"In a preheated Fryer set to ~350°F, fry the chips until golden."
Step 6,"Remove from fryer using a fine mesh spider, reserve to sheet to sheet tray lined with dry sport towel."
Step 7,Season immediately after frying with kosher salt.
Step 8,Reserve under a heat lamp or in a warm dry place for at least one hour to remove excess oil.
Step 9,Reserve in quart containers with C-Fold towel on the bottom and silica gel packets
Step 10,Store in a cool dry place.
Step 11,"***NOTE: Make as much as is sliced, as needed.  No specific portions to this recipe."