Slide #,Title,category,description,dropline,components,ingredients,allergies,notes,mise
47,“Hit Me” Chocolate Cake,desserts,"Four-Layer Tower: Top Layer: Liquid Klondike Bar filled with a White Chocolate Ganache Top Second: Gluten Free Devil’s Food Cake Middle: Dulce De Leche Ice Cream Bottom: Gluten Free Chocolate Brownie Served with a Bourbon Chocolate Ganache, garnished with our signature chocolate #HitMe",“Hit Me Chocolate Cake with Liquid Klondike and a Bourbon Ganache” Chef recommends using the side of the spoon to **HIT** the Liquid Klondike Bar **hit with the side of spoon**,,,Eggs / Dairy / Alcohol,,
29,A5 Wagyu Gyoza,hot_starters,Description Housemade (4 PC) A5 Japanese Wagyu Beef dumplings are pan-seared until golden brown. The dumplings are served in Amazu Ponzu sauce and garnished with thinly sliced Serrano pepper and micro cilantro. ,“Wagyu Gyozas with Amazu Ponzu and Serrano Chiles”,"Dumpling Mix : A5 Wagyu (mix of kobe, olive beef, and snow beef), Soy Sauce, Sesame, Garlic, White Button Mushroom, Ginger, Scallion, Egg, Panko Breadcrumbs. Amazu Ponzu : Sushi Vinegar, Soy Sauce, Mirin, Lemon Juice, Serrano Chile, Red Onion, Cilantro, Sugar.","Protein: A5 Japanese Wagyu Beef Preparation: Pan Seared Sauce: Amazu Ponzu Side: Garnish: Serrano Pepper, Micro Cilantro","Gluten / Soy / Seeds / Eggs / Alcohol / Allium (Garlic, Onion) / MSG / Peppers / Citrus / Nightshade / Mushroom",No Substitutions,
31,Baked King Crab Hand Rolls,hot_starters,"Description Alaskan King Crab salad is topped with Crispy Shoestring Potatoes and Chives, then wrapped with Sesame Soy paper and Sushi Rice and baked to order.","“Baked King Crab Hand Rolls with Crispy Potatoes, Chef recommends to enjoy while it’s hot”","King Crab Salad : King Crab, Kanikama, Dynamite Sauce Dynamite Sauce : Kewpie Mayo, Togarashi, Honey, Mirin","Protein: Alaskan King Crab Preparation: Baked Sauce: Dynamite Sauce Side: Garnish: Crispy Shoestring Potato, Chives","Gluten / Soy / Seeds / Eggs / Fin Fish / Shellfish / Alcohol / Allium (Garlic, Onion) / MSG / Citrus / Honey / Nightshade (Peppers) / Sesame",2 piece min,
5,Caesar Salad,salads,"Description Romaine lettuce mixed with house Caesar Dressing accompanied with Garlic Focaccia Croutons and soft poached eggs (seasoned with paprika). Finished with Parm snow, a drizzle of egg yolk jam and Parmesan Frikka (parmesan crisps).","“Caesar Salad with Focaccia Garlic Croutons, Parmesan Frikka and Soft Boiled Egg””"," Garlic Focaccia Croutons: marinated in garlic butter, oven-toasted to order and garnished on top/outside of the salad. Caesar Dressing: Grapeseed Oil, Olive Oil, Lemon Juice, Anchovies, Dijon Mustard, Parmesan, Pasteurized Yolk, Garlic, Salt","Protein: Baby Romaine Preparation: Mixed Sauce: Caesar Dressing Side: Garlic Focaccia Croutons, Soft Poach Eggs Garnish: Parmesan Snow & Parmesan Frikka","Shellfish (Anchovies) / Alcohol (Mignonette) / Allium (Garlic, Onion) / Citrus / Nightshade (Chili Pepper, Ketchup) / Fin Fish (Worcestershire) / Soy",Gluten is in croutons (removable). Nightshade (Chili Pepper) is in the paprika (removable) on the eggs. Eggs and Egg Yolk Jam also removable.,
36,Center-Cut Filet,steak,"8oz. Filet from Dakota City, Nebraska, seasoned with seasoned with sea salt and Madagascar black pepper. Served with blistered Shishito Peppers and charred Vine Tomatoes. Finished with clarified butter. This is our only steak that does not come pre-sliced! (can sliced for tables that are sharing)","""(Insert Temp) Center-Cut Filet”","Components Blistered Shishito Peppers, Charred Vine Tomatoes ","Protein: 8oz Filet Preparation: Grilled Sauce: Steak Sauce, Truffle Butter, Chili Butter (up-charge) Side: Blistered Shishito Peppers & Vine Tomatoes Garnish: Clarified Butter & Maldon Salt","Nightshade (Tomatoes, Peppers) / Dairy (Removable) / Peppercorn",,"Steak Knife, Fork"
23,Classic Cut Rolls,rolls,"6 pieces per order: With Gluten (Soy, in Mix): Spicy Yellowtail Mix - $16 Spicy Tuna Mix - $16 Classic California Roll - $ Gluten-Free: Tuna + Avocado - $16 Tuna + jalapeño - $16 Salmon + Avocado - $16 Salmon + jalapeño - $16 Yellowtail (Hamachi) + Avocado - $16 Yellowtail (Hamachi) + Jalapeño - $16 Cucumber Sesame - $15 Truffle Avocado - $15 Note: Can add jalapeño to most fish for gluten-free spicy option ",,,,Gluten / Soy / Seeds / Eggs / Fin Fish / Alcohol / MSG / Shellfish / Citrus / Honey / Nightshade (Peppers),"Chopsticks, Soy Sauce, Soy Ramekin",
44,Creamy Basmati Rice,sides,"Description Basmati Rice cooked in cream reduction mixed with Butternut Squash, Artichoke, Tomato & Lemon Confit, garnished with Parsley & Chives. ",Dropline “Creamy Basmati Rice with Lemon Confit”,"Components Cream Reduction: Cream, Lemon Confit, Butter, White ***Distilled Vinegar + Heavy Cream.",,Dairy / Citrus / Nightshade/ Honey,,
46,Crispy Brussels Sprouts,sides,"Description Brussels Sprouts fried to order. Tossed in a yuzu calamansi vinaigrette, finished with dry miso, pomegranate seeds, garnished with chives. ",Dropline “Crispy Brussels Sprouts with Yuzu Calamansi Vinaigrette”,"Yuzu Calamansi Vin: Yuzu, Calamansi, Honey, E.V.O.O.",,Gluten (CC) / Shellfish CC / Citrus / Soy,,
4,East Coast Oysters,snacks,"Description 1/2 Dozen East Coast Oysters served on the half shell over crushed ice. They are accompanied by Red Wine Mignonette, classic Cocktail Sauce and garnished with fresh lemon wedges. ",“East Coast Oysters with Cocktail Sauce and Red Wine Mignonette” From: Prince Edward Island,"Red Wine Mignonette : Finely minced shallot, Soy, Yuzu, Rice Wine Vinegar and Aji Amarillo. Cocktail Sauce: Ketchup, Tabasco, Worcestershire Sauce, Lemon Juice, Grated Horseradish, White Vinegar, Garlic.",,"Shellfish / Alcohol (Mignonette) / Allium (Garlic, Onion) / Citrus / Nightshade (Chili Pepper, Ketchup) / Fin Fish (Worcestershire) / Soy",,
15,Golden A5 Nigiri,japan,½ oz of lightly seared Japanese Miyazaki A5 Wagyu brushed Nikiri Soy over sushi rice with Kaluga Caviar and Gold Dust.,"“A5 Wagyu Nigiri with Nikiri Soy, Caviar and Gold Flake”","Nikiri Soy (House Soy Blend): Sake, Mirin and soy infused with Bonito flake and kombu seaweed Gold Dust: Food grade gold used for decoration. It is odorless, tasteless and will not react during digestion.",,Gluten / Soy / Finfish / Fish Eggs / Beef (Wagyu) Alcohol (Mirin in Sushi Rice) / Ginger,,
42,Grilled Asparagus,sides,Description Jumbo Asparagus grilled and dressed with a Citrus Vinaigrette and finished with Parsley and Chives. ,Dropline “Grilled Asparagus with Citrus Vinaigrette”,"Components Citrus Vinaigrette : E.V.O.O., Lemon Oil, Lemon Juice",,Allium / Citrus / Peppers,,
22,Hellfire Roll,rolls,"Description (5pc) Spicy Tuna and Asian Pear topped with Togarashi spiced seared Yellowfin Tuna, drizzled with a Balsamic-Soy Reduction and finished with Sesame Seeds. “Spicy Tuna, Two Ways”","“Hellfire Roll, Spicy Tuna topped with seared Tuna and a Balsamic Kabayaki Glaze”","Spicy Tuna Mix: Blue and Yellowfin Tuna, Spicy Mayo, Tobiko, Chives. (Mixed with Tempura Flakes) Shichimi Togarashi : Japanese seven spice blend of Red Chili Pepper, Sansho Pepper, Orange Peels, Black Sesame Seeds, White Sesame Seeds, Nori and Ginger. Balsamic Soy Reduction : Soy Sauce, Balsamic Vinegar, Sugar.","Protein: Spicy Tuna, Togarashi Spiced Yellowfin Tuna Preparation: Seared, Sushi Roll (Maki) Sauce: Balsamic-Soy Reduction Side: Garnish: Sesame seeds","Gluten / Soy / Seeds / Eggs / Fin Fish / Alcohol / Allium (Garlic, Onion) / MSG / Shellfish (CC) / Citrus / Nightshade (Peppers)","Shellfish Allergy (CC, Tempura Flakes inside with spicy tuna) is removable Citrus Allergy / Sesame Allergy (in Togarashi) is removable",
40,Herb Roasted Branzino,seafood,Description Herb Crusted 6oz Mediterranean Branzino Filet served over a Creamy Basmati Rice then finished with Chive Oil and a fresh Lemon cheek.,“Herb Roasted Branzino with Creamy Basmati Rice”,"Herb Marinade : Parsley, Cilantro, Lemongrass, Thyme, Garlic, Shiro Dashi Creamy Basmati Rice : Basmati Rice, Roasted Artichokes, Plum Tomatoes, Butternut Squash, Lemon Confit, Butter, Cream. Chive Oil : Chives, Grapeseed Oil, Salt.","Protein: Herb Crusted 6oz Mediterranean Branzino Preparation: Roasted Sauce: Herb Marinade Side: Creamy Basmati Rice Garnish: Chive oil, Lemon Wedge",Gluten (Marinade) / Dairy / Fin Fish / Garlic / Onion / Peppers / Citrus / Nightshade,Can be ordered gluten-free,
9,Madai Crudo,japan,"Description 4oz (8 Slices) of Japanese Red Snapper from Tosyu Fish Market in Tokyo Japan. The Madai is thinly sliced and set over a Citrus Amarillo sauce finished with Japanese Mountain Peach (Wakamomo), pomegranate seeds, shaved red radishes, micro cilantro and shichimi togarashi.",“Japanese Red Snapper Sashimi with Citrus Aji-Amarillo Sauce and baby Japanese Peaches”,"Citrus Amarillo Sauce : Chili, Oil, Aji Amarillo, Yuzu, Ginger, Ponzu (Soy, Lemon, Rice Wine Vinegar) Shichimi Togarashi: Black & White Sesame, Orange peel, ginger, hemp, togarashi","Protein: (8) Japanese Red Snapper (Tai) Preparation: Sashimi Sauce: Citrus Aji-Amarillo Sauce Side: Wakamomo, Pomegranate Seeds Garnish: Red Radishes, Micro Cilantro, Shichimi Togarashi","Gluten / Soy / Seeds / Fin Fish / Alcohol / Allium (Garlic, Onion) / MSG / Citrus / Honey / Nightshade (Chili Peppers) / Stone Fruit / Cilantro",Citrus Aji-Amarillo Sauce cannot be made gluten free,
38,Miso Glazed Sea Bass,seafood,Miso-Wasabi marinated 6oz. Chilean Sea Bass with jalapeño red onion relish. Served with an arugula salad dressed in a Citrus Vinaigrette with crispy leeks.,“ Miso Glazed Chilean Sea bass with Jalapeño Relish”,"Jalapeño Relish : diced jalapeño, diced red onion, yuzu juice, evoo Miso-Wasabi Sauce: white miso, sugar, sake, mirin, wasabi paste","Protein: 6 oz Chilean Sea Bass Preparation: Baked Sauce: Miso Wasabi Side: Arugula Salad, Citrus Vinaigrette Garnish: Jalapeño Salsa, Crispy Leeks",Citrus / Soy / Shellfish (CC) / Nightshade / Allium / Gluten (CC from leeks),,Fork
30,Mushroom Spaghetti,hot_starters,"Description Spaghetti tossed in a Truffled Mushroom Cream Sauce with a with minced shallots and roasted White Button Mushrooms. The pasta is finished with Parmesan cheese, Truffle Oil and Chives ",Dropline “Mushroom Spaghetti with Truffle Mushroom Cream”,"Mushroom Cream Sauce : White Button Mushroom, Cream, Butter, Tamari, Truffle Oil, Mascarpone Cheese, White Wine (finished with) Vegan Mushroom Cream : Soy Milk, Truffle Oil, Mushroom Mix.","Protein: Spaghetti, White Button Mushrooms Preparation: Boiled pasta, Roasted Mushrooms, Tossed in sauce Sauce: Mushroom Cream Side: Garnish: Parmesan Cheese, Truffle Oil, Chives",Gluten / Soy / Dairy / Onion / Mushroom,Our Mushroom Spaghetti can be made Vegan by using a Vegan Mushroom Cream sauce* This dish can be modified to be Gluten-Free by using Gluten Free Pasta.,
18,Nigiri/Sashimi,japan,"A La Carte Selection of Nigiri and Sashimi Options: Sashimi (min. 2 pieces per order) ½ oz. per slice, dressed with our House Soy Blend Nigiri (min. 2 pieces per order) ½ oz. per slice, dressed with our House Soy Blend on top of a ball of sushi rice Bluefin Akami Tuna - $ Bluefin Chu-Toro Tuna - $ Bluefin Oh-Toro Tuna - $ Hamachi (Yellowtail) - $ Madai (Japanese Red Snapper) - $ Salmon - $ Salmon Belly - $ Scallop - $ Uni (Sea Urchin) - $ A5 Wagyu - $",,,,"Gluten / Soy / Finfish / Alcohol / Beef (Wagyu) / Ginger (House Soy Blend substitutable for Tamari to make Gluten Free) (Sushi rice contains Alcohol in Mirin, substitutable for brown rice)",,"Chopsticks, Soy Sauce, Soy Ramekin"
17,Omakase Boat 32 PC,japan,"NIGIRI: 2 PC Each: (individually dressed): Bluefin Otoro Tuna - Barrel Aged Soy, Kaluga Caviar & Chive Akami Tuna - Yuzu Soy, Crispy Quinoa & Lemon Zest Hamachi - Ponzu, Black Garlic & Catch Furikake Madai - Lemon Oil, Yukari & Orange Torched Hokkaido Scallop - Lemon Oil & Maldon Sea Salt Torched King Salmon Belly - Truffled Tomato & Micro Basil SASHIMI: 2 PC Each: (brushed with our House Soy Blend): Bluefin Otoro Tuna Akami Tuna Hamachi Madai Hokkaido Scallop King Salmon Belly","“Omakase Boat [featuring Bluefin Otoro Tuna, Akami Tuna, Hamachi, Madai, Hokkaido Scallop & King Salmon Belly as both Sashimi and Nigiri with a Tuna Avocado Roll & Cucumber Wrapped Salmon Roe]”",,,Seed Oil / Gluten / Soy / Dairy / Finfish / Alcohol / Allium / Onion / Garlic / MSG / Citrus / Shellfish / Ginger / Fish Eggs / Mushroom / Nightshade,"Add Kaluga Caviar and 3 Nigiri (Otoro, Uni (Sea Urchin), and A5 Wagyu) for $",
12,OToro Nigiri,japan,"½ oz of extra fatty Bluefin Tuna belly served over sushi rice and dressed with Barrel Aged Soy, Kaluga Caviar and Chives",“Bluefin Otoro Nigiri with Barrel Aged Soy Sauce and Caviar”,"Kaluga Caviar: The roe of Kaluga Sturgeon. The flavor is rich, buttery and nutty. Barrel Aged Soy: Preservative and sweetener free, traditionally brewed and rested in wooden barrels.",,Gluten / Soy / Finfish / Alcohol (Mirin in Sushi Rice) / Allium / Fish Egg / Ginger,,
43,Parmesan Truffle Fries,sides,"Description Crispy French Fries tossed with Black Truffle Oil, Parmesan Cheese, Chives and Parsley. Accompanied with Ketchup.",Dropline “Parmesan Truffle Fries”,"Components Vegan Truffle Aioli : Vegan Mayo, Truffle Peels, Truffle Oil, Champagne Vinegar, Lemon. ($5 Upcharge)",,Gluten (CC) / Soy / Seeds (CC) / Dairy / Shellfish (CC) / Mushroom / Peppers / Citrus / Nightshade,,
49,Pistachio “Cheesecake”,desserts,Vegan & Gluten Free Pistachio Cheesecake made with Cashew and Coconut milk. Served with a scoop of Coconut Sorbet and finished with Luxardo Black Cherry Reduction and crumbled Pistachio.,Dropline “Vegan Pistachio Cheesecake and Coconut Sorbet” Soy / Nuts / Stonefruit,"Cheesecake Base: Pistachio, Cashew, Tofutti Cream Cheese, Coconut Oil. Gluten Free “Graham Cracker” Crust: Caputo Flour, Coconut Oil, Sugar.",,,,Spoon
34,Prime New York Strip,steak,"Description 12 oz Prime New York Strip from Greeley, CO. seasoned with sea salt and black pepper. Served with blistered Shishito Peppers and charred Vine Tomatoes. Finished with clarified butter.","""(Insert Temp) 12 oz Prime NY Strip from Greeley Farms”","Blistered Shishito Peppers, Charred Vine Tomatoes ","Protein: 12 oz Prime New York Strip Preparation: Grilled Sauce: Steak Sauce, Truffle Butter, Chili Butter (up-charge) Side: Blistered Shishito Peppers & Vine Tomatoes Garnish: Clarified Butter & Maldon Salt","Nightshade (Tomatoes, Peppers) / Dairy (Removable) / Peppercorn",,"Steak Knife, Fork"
35,Prime Ribeye,steak,Prime 14oz. Ribeye (Delmonico cut including fat from spinalis between 11th and 13th rib) seasoned with sea salt and black pepper. Served with blistered Shishito Peppers and charred Vine Tomatoes. Finished with clarified butter.,"""(Insert Temp) 14 oz. Prime Ribeye”","Components Blistered Shishito Peppers, Charred Vine Tomatoes ","Protein: 14oz. Prime Ribeye Preparation: Grilled Sauce: Steak Sauce, Truffle Butter, Chili Butter (up-charge) Side: Blistered Shishito Peppers & Vine Tomatoes Garnish: Clarified Butter & Maldon Salt","Nightshade (Tomatoes, Peppers) / Dairy (Removable) / Peppercorn",,"Steak Knife, Fork"
10,Rainbow Sashimi Pizza,japan,"Bluefin Tuna, Scottish Salmon and Hamachi Sashimi (80 grams total weight) are layered over a toasted Flour Tortilla that is topped with Roasted Tomato Truffle Aioli. The pizza is brushed with White Ponzu, topped with Serrano Chiles, and sprinkled with Yuzu Salt & Wasabi Furikake.",“Rainbow Sashimi Pizza with Tomato Truffle Aioli and Serrano Chiles”,"Wasabi Furikake : Wasabi Powder, Nori, Sesame, Bonito Flakes. Truffle Aioli : Sun-Dried Tomato, Vegan Mayo, Truffle Oil, Grapeseed Oil, Truffle Peeling, Lemon Juice, Black Pepper. White Ponzu: White soy, yuzu, sake, mirin, sushi vinegar, fish sauce, shiro dashi, konbu, mushroom flavoring, bonito flakes (katsuobushi) Creamy Ponzu: (Surf and Turf)","Protein: Bluefin Tuna, Scottish Salmon, Hamachi Preparation: Layered over Flour Tortilla Sauce: Roasted Tomato Truffle Aioli Side: White Ponzu, Serrano Chilies Garnish: Yuzu Salt, Wasabi Fruikake","Gluten / Soy / Fin Fish / Alcohol / Allium (Garlic, Onion) / Mushroom / MSG / Citrus / Nightshade (Chili Peppers) / Seed (Sesame)",Serrano Chiles are removable. Wasabi Furikake (w/Sesame) is removable,
39,Salmon A La Plancha,seafood,6 oz Scottish Salmon filet seared a la plancha Ask for temperature (comes medium). Served with a Market Salad and side of Jalapeño Cucumber Emulsion with togarashi dipped charred lemon. ,"Dropline “Scottish Salmon a la plancha [insert temp], with Jalapeño Cucumber Emulsion” ","Components Jalapeño Cucumber Emulsion: jalapeño, onion, garlic, lemon cilantro, salt, honey, grapeseed oil, cucumber Market Salad: Arugula, Crispy Quinoa, Watermelon Radish, Shaved Asparagus, Cherry Tomato, Shallot Vinaigrette","Protein: 6 oz Scottish Salmon Preparation: Grilled on a flat top (a la plancha) Sauce: Jalapeño Cucumber Emulsion Side: Market Salad Garnish: Crispy Leeks, Togarashi dipped charred lemon",Seeds / Fin Fish / Shellfish (CC) / Peppers / Citrus / Nightshade,,
13,Salmon Belly Nigiri,japan,"½ oz of lightly torched King Salmon Belly over sushi rice with Truffled Tomato, Micro Basil and Maldon Sea Salt",“King Salmon Belly with Truffled Tomato and Micro Basil”,"Truffled Tomato: Truffle Oil & Tomato Maldon: a high-quality, coarse sea salt, renowned for its distinctive pyramid shape and crunchy texture. It's hand-harvested in the English town of Maldon.",,Finfish / Alcohol (Mirin in Sushi Rice) / Mushrooms / Ginger / Nightshade (Tomato),,
14,Scallop Nigiri,japan,½ oz of lightly Seared Scallop from Hokkaido Japan over sushi rice with Lemon Oil and Maldon Sea Salt,“Seared Scallop Nigiri with Lemon Oil and Sea Salt”,"Hokkaido Scallop: Considered some of the best due to the cold water and constant nutrient stream in which they reside. Koshikari Rice: Japanese short grain rice, prized for its cooked texture.",,Shellfish (Mollusk) / Alcohol (Mirin in Sushi Rice) / Citrus / Ginger,,
3,Shishito Peppers,snacks,Description Wok-seared Shishito Peppers seasoned with Yuzu Chili Garlic & Yuzu Salt. Served with lime cheek and Amazu Ponzu. ,"“Wok-seared Shishito Peppers with Yuzu Chili Garlic, Amazu Ponzu and Lime”","Yuzu Chili Garlic : Yuzu Salt,Chili Powder, Garlic, Sesame Seed, Sugar. Amazu Ponzu : Sushi Vinegar, Soy Sauce, Mirin, Lemon Juice, Serrano Chile, Red Onion, Cilantro, Sugar.","Protein: Shishito Peppers Preparation: Olive Oil & Salt; Wok-seared Sauce: Amazu Ponzu Side: Lime Cheek Garnish: Yuzu Chili Garlic, Yuzu Salt","Gluten / Allium (Garlic, Onion) / Soy / Citrus / Nightshade (Chile Pepper) / Sesame Seed / Alcohol (Mirin)",,
45,Simple Mashed Potatoes,sides,"Description Idaho Potatoes whipped with heavy cream, butter, and roasted garlic, finished with Black Pepper and Chives.",Dropline “Simple Mashed Potatoes”,,,Garlic / Dairy / Nightshade / Pepper,,
51,Sorbet,desserts,"Three scoop selection of seasonal 
homemade Sorbets or Ice Cream",“ (Insert sorbet/ice cream flavors”,"Sorbet Options: Coconut, Strawberry Lychee. Ice Cream Options: Vanilla, Dulce de Leche.",,Allergies (Depending on flavors): Gluten / Dairy / Citrus / Stonefruit / Seeds,,Spoon
27,Spicy Gigli Pasta,hot_starters,Description Gigli (“baby bell”) pasta tossed in a homemade Calabrian chili sauce finished with shaved pecorino cheese.,“Our Spicy Gigli pasta with pecorino cheese”,"Spicy Vodka Sauce: Marinara (slow cooked Jersey tomatoes, garlic, EVOO, oregano, basil, onion), an onion soubise (thinly sliced onions, butter), a Calabrian chili paste, and double cream (heavy cream reduced by half)","Protein: Gigli (“baby bell”) pasta Preparation: Boiled pasta, Tossed in sauce Sauce: Calabrian chili “Vodka” sauce Side: Garnish: Pecorino Cheese",Dairy / Garlic / Onion / Nightshade / Gluten / Gluten-Free Gigli Pasta NOT Available,,
50,Strawberry Shortcake Shaved Ice,desserts,"Description Japanese Strawberry Shaved Ice with Strawberry Compote, Vanilla Mascarpone Mousse and a Lemon Cookie Crumble. Drizzled tableside with strawberry and condensed milk.",“Strawberry Shortcake Shaved Ice with Lemon Cookie Crumble and Vanilla Mascarpone Mousse” I will be drizzling Strawberry and Condensed Milk over the top,"Strawberry Compote: Strawberry, Sugar, Lemon Lemon Cookie Crumble (Contains Gluten): Lemon, Graham Cracker, Nilla Wafer, Brown Sugar, Butter Vanilla Mascarpone Mousse: Vanilla, Heavy Cream, Sugar, Mascarpone",,Gluten/ Dairy/ Citrus,,Spoon
8,Truffle Sashimi,japan,"Description 2oz (4 Slices) each of Bluefin Tuna and Hamachi Sashimi set in a Truffle-Chili Ponzu Sauce with a Truffle Purée, Kaluga Caviar, and thinly sliced scallions.","“Yellowfin Tuna and Hamachi Sashimi with Truffle-Chili Ponzu, Caviar, Truffle Puree & Scallions”","Truffle-Chili-Ponzu : Soy Sauce, Truffle Purée, Mirin, Sake, Shiro Dashi, Bonito, Kombu, Chili Oil (Chili Peppers), Sugar Truffle Purée : Black Truffle Peels, Truffle Oil, Sushi Vinegar.","Protein: Bluefin Tuna (4) & Hamachi (4) (Yellowtail) Preparation: Sashimi Sauce: Truffle-Chili Ponzu Sauce Side: Truffle purée, Kaluga Caviar Garnish: Thinly sliced scallions",Gluten / Soy / Fin Fish / Alcohol / Garlic / Onion / Mushroom / MSG / Peppers / Citrus / Nightshade,Truffle Chili Ponzu cannot be made gluten free,
11,Tuna Tartare,japan,"2.5 ounces of Yellowfin Tuna finely-diced with chives, shallots, extra virgin olive oil, lemon zest and Barrel Aged Soy sauce served over Avocado Purée. (Made with lemon juice and shiro dashi) Finished with chive oil and accompanied with 4 crostinis with rosemary butter, chive,salt and pepper.",“Yellowfin Tuna Tartare with Avocado purée and Crostinis”,"Avocado Purée : Chunked avocado mixed with lemon and lime juice, shiro dashi, EVOO, onion, shallot, sugar and salt Barrel Aged Soy : Preservative and sweetener free, traditionally brewed and rested in wooden barrels.","Protein: Yellowfin Tuna Tartare Preparation: Minced Sauce: Barrel Aged Soy Side: Avocado purée, Crostini Garnish: Kaluga Caviar, Chives",Gluten / Soy / Dairy / Finfishl / Allium / MSG / Citrus ,Add Caviar for $12 (8 grams) Note: Only Dairy is removable (Cristinis) Cristinis: Rosemary Herb Butter,
7,Vegan Caesar Salad,salads,"Description Baby Romaine lettuce with vegan Caesar dressing, topped with Baked Daiya cheese as Frikka (contains Legume & Sesame Oil), nutritional yeast and chives. ",“Vegan Caesar Salad with Baked Vegan Frikka”,"Vegan Caesar Dressing: Vegan Mayo, Lemon Juice, Champagne Vinegar, Dijon Mustard, Salt, Black Pepper, Canola Oil, EVOO Baked Daiya Frikka: Vegan Cheese (Daiya Cheese)","Protein: Baby Romaine Lettuce Preparation: Mixed Sauce: House made Vegan Caesar Dressing Side: Baked Daiya Cheese Frikka (Vegan) Garnish: Nutritional Yeast, Chives",Garlic / Citrus / Mustard / Yeast / Legume / Sesame / Allium,,
28,Vegan Spicy Gigli,hot_starters,Description Gigli (“baby bell”) pasta tossed in a Calabrian chili sauce finished with shaved Daiya cheese ,“Our Vegan Spicy Gigli”,"Spicy Vodka Sauce: marinara (slow cooked Jersey tomatoes, garlic, EVOO, oregano, basil, onion), an onion soubise (thinly sliced onions, vegan butter), a Calabrian chili paste, and double cream (lentil cream reduced by half)","Protein: Gigli (“baby bell”) pasta Preparation: Boiled pasta, Tossed in sauce Sauce: Calabrian chili “vodka” sauce Side: Garnish: Daiya Cheese",Legume (Lentil) / Garlic / Onion / Nightshade / Gluten / Gluten-Free Gigli Pasta NOT Available,,
20,Vegetable King Roll,rolls,"Description (5pc) Pickled Japanese Vegetables rolled inside Nori (seaweed wrap) and Sushi Rice, topped with thinly sliced Roasted Red Bell Pepper, Avocado, and finished with thinly sliced Serrano Peppers, Scallions and Vegan Spicy Aioli.",“Vegetable King Roll with Pickled Japanese Vegetables and Vegan Spicy Aioli”,"Pickled Japanese Vegetables: Pencil asparagus, burdock root (Miyako yamagobo zuke), niitakaya hajikami (pickled ginger), marumo ajitsuke kanpyo (mushroom) Vegan Spicy Aioli: Vegan Mayo, Sriracha, Agave, Sambal.","Protein: Pickled Japanese Vegetables (Oshinko) Preparation: Pickled, Sushi roll (maki) Sauce: Vegan Spicy Aioli Side: Thinly Sliced Roasted Bell Pepper, Avocado Garnish: Serrano pepper, Scallions","Wheat / Gluten / Soy / Egg / Sesame Seeds / Alcohol / Citrus / Nightshade (Peppers) / Allium (Garlic, Onion) / Stone Fruit / Legume","Serrano Chile is removable, as well as Bell Pepper (to make Nightshade-Free) Vegan Spicy Aioli is removable (to make Legume-Free from Tobanjan (red bean paste) in aioli)",
33,Wagyu Porterhouse,steak,"24 oz. Bone-In Wagyu Porterhouse from Westholme, Wylarah Station, Australia, seasoned with sea salt and black pepper. Served with blistered Shishito Peppers and charred Vine Tomatoes. Finished with clarified butter.","“[Insert Temp] 24 oz Wagyu Porterhouse from Westholme, Wylarah Station, Australia”","Blistered Shishito Peppers, Charred Vine Tomatoes","Protein: 24 oz Bone-In Wagyu Porterhouse Preparation: Grilled Sauce: Steak Sauce, Truffle Butter, Chili Butter (up-charge) Side: Blistered Shishito Peppers & Vine Tomatoes Garnish: Clarified Butter & Maldon Salt","Nightshade (Tomatoes, Peppers) / Dairy (Removable) / Peppercorn",,"Steak Knife, Fork"
21,Wagyu Surf & Turf Roll,rolls,(5pc) Maine Lobster mixed with truffle aioli. Topped with lightly seared Westholme Ranch Australian Wagyu and finished with a Ponzu Chimichurri and finished with crispy Potato Frites. ,"“Surf and Turf Roll with Wagyu, Lobster Salad,Ponzu Chimichurri and Truffle Aioli”","Lobster Mix: Poached Maine Lobster, Old Bay Seasoning, Truffle Aioli Truffle Aioli :Truffle Paté, Truffle Oil, Garlic Powder, Old Bay, Kewpie Mayo. Ponzu Chimichurri : Sautéed Shallot and Garlic, Cilantro, Parsley, Basil, Chives, Dill, White Ponzu, Sushi Vinegar, Yuzu Juice, Shirodashi, Lime Juice.","Protein: Maine Lobster, Australian Wagyu Preparation: Seared, Sushi Roll (Maki) Sauce: Ponzu Chimichurri Side: Garnish: Potato Frites","Gluten / Soy / Seeds / Eggs / Fin Fish / Shellfish / Alcohol / Allium (Garlic, Onion) / Mushroom (CC) / Citrus / Nightshade (Old Bay)",Nightshade (Chili Pepper) NOT removable (in lobster mix AND potatoes),"Chopsticks, Soy Sauce, Soy Ramekin"
48,Warm Ricotta Donuts,desserts,"6 Ricotta Donuts, dusted with Cinnamon Sugar served with an assortment of sauces: Chocolate Ganache, Raspberry-Lime, Cream Cheese Frosting and Salted Caramel.","Sauces: Chocolate Ganache, Raspberry-Lime, Cream Cheese Frosting and Salted Caramel. Chef recommends to inject the sauces inside the donuts or drizzle them on top.”",,,Warm Ricotta Donuts Gluten / Eggs / Dairy / Cheese / Citrus (Raspberry-Lime),,Spoon
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,steak,,,,,,,
,,hot_rock,,,,,,,
,,steak,,,,,,,
,,rolls,,,,,,,
,,desserts,,,,,,,
,,seafood,,,,,,,